"name","region","freq","rank","gender"
"Esther Costela",0,119496,135,F
"Giovanna Rezende",0,117499,136,F
"Valentina Araújo",0,117498,137,F
"Maria Alice Correia",0,115715,138,F
"Cecília Carvalho",0,114846,139,F
"Letícia Jesus",0,114690,140,F
"Fernanda Nogueira",0,114541,141,F
"Isadora Aragão",0,113150,142,F
"Lara Duarte",0,113146,143,F
"Sra. Luana Mendes",0,112094,144,F
"Helena Gomes",0,111906,145,F
"Dra. Stella da Costa",0,111831,146,F
"Julia da Conceição",0,110087,147,F
"Olivia Teixeira",0,108676,148,F
"Srta. Maria Alice Costela",0,108422,149,F
"Kamilly Pinto",0,108197,150,F
"Maria Alice Cardoso",0,106738,151,F
"Ana Luiza Monteiro",0,105892,152,F
"Ana Sophia Viana",0,105741,153,F
"Raquel Santos",0,105492,154,F
"Maria Luiza Azevedo",0,104992,155,F
"Sophie Silveira",0,104228,156,F
"Eduarda Barros",0,103787,157,F
"Lavínia Almeida",0,102585,158,F
"Pietra das Neves",0,102491,159,F
"Luana da Luz",0,102116,160,F
"Lavínia Oliveira",0,101953,161,F
"Luana Sales",0,101467,162,F
"Ana Júlia Pinto",0,99770,163,F
"Alícia Silveira",0,96432,164,F
"Cecília da Cunha",0,95961,165,F
"Mariana da Rocha",0,95648,166,F
"Letícia da Rocha",0,95114,167,F
"Elisa da Mata",0,94927,168,F
"Dra. Nina Cardoso",0,94418,169,F
"Evelyn Campos",0,93488,170,F
"Yasmin Porto",0,93355,171,F
"Daniela Ferreira",0,92470,172,F
"Maria Castro",0,92065,173,F
"Juliana Costela",0,91752,174,F
"Milena Castro",0,90779,175,F
"Srta. Isabelly Porto",0,89381,176,F
"Maria Sophia Ferreira",0,88631,177,F
"Marcela Rezende",0,88574,178,F
"Joana Rocha",0,88505,179,F
"Maria Julia Teixeira",0,88064,180,F
"Srta. Bianca Martins",0,88023,181,F
"Carolina Viana",0,87953,182,F
"Ana Souza",0,86963,183,F
"Srta. Maria Clara Campos",0,86816,184,F
"Maitê da Luz",0,86734,185,F
"Srta. Valentina Ribeiro",0,85939,186,F
"Lara Nunes",0,85322,187,F
"Ana Nunes",0,85317,188,F
"Dra. Carolina da Conceição",0,84237,189,F
"Ana Luiza Martins",0,83485,190,F
"Alexia Silveira",0,83288,191,F
"Ana Júlia da Rosa",0,83045,192,F
"Srta. Emilly Fernandes",0,82927,193,F
"Clarice Carvalho",0,82838,194,F
"Dra. Stella da Luz",0,82626,195,F
"Bianca Araújo",0,82203,196,F
"Kamilly Nogueira",0,81878,197,F
"Lavínia Cardoso",0,81230,198,F
"Mariane da Costa",0,81100,199,F
"Dra. Nicole Azevedo",0,80128,200,F
"Ana Laura Barbosa",0,79036,201,F
"Alexia Rocha",0,78651,202,F
"Sabrina Cardoso",0,78501,203,F
"Maria Alice Vieira",0,78152,204,F
"Ana Laura Gonçalves",0,76538,205,F
"Srta. Larissa da Cunha",0,76398,206,F
"Sra. Eduarda da Paz",0,76368,207,F
"Sra. Sophia Silva",0,75795,208,F
"Emanuelly da Conceição",0,75755,209,F
"Natália Melo",0,74792,210,F
"Maria Vitória Nunes",0,74684,211,F
"Júlia Martins",0,74612,212,F
"Emilly Farias",0,74046,213,F
"Maria da Rosa",0,73753,214,F
"Ana Lívia Rezende",0,73675,215,F
"Cecília Sales",0,73418,216,F
"Luna Sales",0,73147,217,F
"Stephany das Neves",0,71690,218,F
"Dra. Maria Cecília Souza",0,70796,219,F
"Ana Luiza Pires",0,70290,220,F
"Manuela Azevedo",0,70159,221,F
"Giovanna Novaes",0,69509,222,F
"Cecília Fernandes",0,68658,223,F
"Pietra Aragão",0,68590,224,F
"Dra. Yasmin da Luz",0,68467,225,F
"Emanuelly Peixoto",0,68230,226,F
"Dra. Raquel Araújo",0,68227,227,F
"Catarina da Costa",0,67625,228,F
"Rafaela Vieira",0,67615,229,F
"Esther da Costa",0,67474,230,F
"Ana Sophia Gonçalves",0,67451,231,F
"Lavínia Silva",0,67004,232,F
"Fernanda Alves",0,66902,233,F
"Ana Vitória Azevedo",0,66609,234,F
"Srta. Esther Silveira",0,66407,235,F
"Daniela Vieira",0,66167,236,F
"Clarice Moura",0,65919,237,F
"Maria Julia Barros",0,65797,238,F
"Valentina Correia",0,65464,239,F
"Manuela Moura",0,64837,240,F
"Marcela Barros",0,64724,241,F
"Ana Júlia Silva",0,64176,242,F
"Srta. Lorena Rocha",0,63313,243,F
"Sra. Melissa Fernandes",0,62909,244,F
"Isadora Sales",0,62587,245,F
"Maria Clara da Costa",0,61969,246,F
"Sarah Rezende",0,61886,247,F
"Lívia Caldeira",0,61804,248,F
"Lorena Pinto",0,61659,249,F
"Carolina Freitas",0,61002,250,F
"Daniela Gonçalves",0,60907,251,F
"Daniela da Luz",0,60157,252,F
"Gabriela Caldeira",0,60039,253,F
"Bruna Dias",0,59608,254,F
"Raquel da Rocha",0,59496,255,F
"Maitê Barbosa",0,59109,256,F
"Ana Júlia Cavalcanti",0,58849,257,F
"Maria Clara Correia",0,58793,258,F
"Srta. Ana Beatriz Castro",0,58746,259,F
"Letícia Lima",0,58521,260,F
"Srta. Stella Duarte",0,57078,261,F
"Gabrielly da Rosa",0,57043,262,F
"Natália Porto",0,56967,263,F
"Bianca Peixoto",0,56747,264,F
"Joana Moreira",0,56701,265,F
"Nicole Pereira",0,56555,266,F
"Maria Clara Campos",0,56433,267,F
"Isis Araújo",0,56394,268,F
"Clarice Gomes",0,56130,269,F
"Joana Gonçalves",0,56125,270,F
"Sra. Giovanna Campos",0,56002,271,F
"Sra. Júlia da Rosa",0,55979,272,F
"Ana Carolina da Costa",0,55426,273,F
"Ana Carolina Freitas",0,54697,274,F
"Luna Campos",0,54524,275,F
"Heloísa das Neves",0,54504,276,F
"Kamilly Campos",0,54474,277,F
"Maria Sophia das Neves",0,54261,278,F
"Isis Lopes",0,54105,279,F
"Lorena Mendes",0,52878,280,F
"Emanuelly Costa",0,52610,281,F
"Carolina da Conceição",0,52269,282,F
"Gabriela Freitas",0,52087,283,F
"Srta. Larissa Araújo",0,51924,284,F
"Sra. Juliana Rocha",0,51910,285,F
"Stephany da Rocha",0,51746,286,F
"Mariana Martins",0,51601,287,F
"Sofia Sales",0,51491,288,F
"Srta. Isabel Gomes",0,51186,289,F
"Ana Luiza Araújo",0,50747,290,F
"Isabelly Fogaça",0,50551,291,F
"Giovanna Moreira",0,50377,292,F
"Catarina da Mata",0,50322,293,F
"Joana Silveira",0,49921,294,F
"Srta. Sophia Carvalho",0,49893,295,F
"Milena Campos",0,49699,296,F
"Julia Cavalcanti",0,49093,297,F
"Eduarda da Cruz",0,49022,298,F
"Agatha da Paz",0,48911,299,F
"Dra. Bruna Aragão",0,48527,300,F
"Srta. Giovanna Almeida",0,48383,301,F
"Júlia Teixeira",0,48363,302,F
"Alícia Costa",0,48290,303,F
"Emilly das Neves",0,48163,304,F
"Bárbara Rocha",0,48095,305,F
"Bruna Vieira",0,48001,306,F
"Sofia da Cruz",0,47812,307,F
"Maitê Melo",0,47806,308,F
"Camila Caldeira",0,47674,309,F
"Fernanda Carvalho",0,47302,310,F
"Letícia Oliveira",0,47254,311,F
"Isadora Costa",0,46991,312,F
"Helena Silveira",0,46649,313,F
"Laís Nunes",0,46611,314,F
"Gabrielly Monteiro",0,46582,315,F
"Brenda Moreira",0,46548,316,F
"Vitória da Rosa",0,46388,317,F
"Isadora Viana",0,46291,318,F
"Agatha Barbosa",0,46192,319,F
"Julia Martins",0,46098,320,F
"Srta. Alice da Cunha",0,45999,321,F
"Bruna Farias",0,45328,322,F
"Letícia Novaes",0,45275,323,F
"Ana Beatriz da Luz",0,45195,324,F
"Júlia Melo",0,45004,325,F
"Camila Cavalcanti",0,44878,326,F
"Beatriz Duarte",0,44877,327,F
"Sofia Teixeira",0,44655,328,F
"Maria Fernanda da Rocha",0,44572,329,F
"Bárbara Pires",0,44355,330,F
"Camila Melo",0,44347,331,F
"Lara Ramos",0,44118,332,F
"Kamilly Cavalcanti",0,43859,333,F
"Daniela Lopes",0,43747,334,F
"Gabrielly Viana",0,43371,335,F
"Maria Alice Correia",0,43143,336,F
"Vitória da Rosa",0,42964,337,F
"Mirella Caldeira",0,42875,338,F
"Giovanna Azevedo",0,42809,339,F
"Srta. Luana Araújo",0,42196,340,F
"Dra. Raquel da Cruz",0,42152,341,F
"Sophia Fogaça",0,42111,342,F
"Melissa Almeida",0,42083,343,F
"Beatriz Gonçalves",0,41963,344,F
"Srta. Eduarda Lima",0,41833,345,F
"Sra. Marina Silveira",0,41583,346,F
"Ana Moura",0,41477,347,F
"Isabella da Costa",0,41380,348,F
"Isabelly Teixeira",0,41122,349,F
"Manuela Duarte",0,41065,350,F
"Melissa Rocha",0,41013,351,F
"Stella Sales",0,40710,352,F
"Gabrielly Fernandes",0,40519,353,F
"Cecília Nogueira",0,40479,354,F
"Stephany Costa",0,40230,355,F
"Carolina Jesus",0,39992,356,F
"Letícia Freitas",0,39746,357,F
"Agatha da Cruz",0,39704,358,F
"Amanda Freitas",0,39540,359,F
"Julia Correia",0,39353,360,F
"Sophia Almeida",0,39127,361,F
"Catarina Costa",0,38933,362,F
"Yasmin Caldeira",0,38899,363,F
"Emilly Carvalho",0,38867,364,F
"Giovanna Almeida",0,38827,365,F
"Beatriz da Costa",0,38678,366,F
"Caroline Campos",0,38667,367,F
"Pietra Pires",0,38422,368,F
"Dra. Laís da Cruz",0,38403,369,F
"Ana Clara da Cruz",0,38310,370,F
"Emanuella Moreira",0,38081,371,F
"Maysa Araújo",0,38043,372,F
"Daniela Cardoso",0,37963,373,F
"Ana Lívia da Mota",0,37734,374,F
"Giovanna Campos",0,37577,375,F
"Esther Melo",0,37277,376,F
"Maitê da Paz",0,37252,377,F
"Bruna Freitas",0,37229,378,F
"Sra. Marina Gonçalves",0,37219,379,F
"Maria Lima",0,37179,380,F
"Ana Júlia da Mota",0,37175,381,F
"Mirella da Cruz",0,37125,382,F
"Mariane da Costa",0,36789,383,F
"Evelyn da Mata",0,36742,384,F
"Carolina da Conceição",0,36661,385,F
"Ana Beatriz Duarte",0,36638,386,F
"Srta. Ana Laura da Mata",0,36438,387,F
"Larissa da Luz",0,36295,388,F
"Ana Julia Pinto",0,36273,389,F
"Sra. Kamilly Almeida",0,36209,390,F
"Srta. Bianca Jesus",0,36119,391,F
"Isabella Nascimento",0,36052,392,F
"Júlia Costela",0,36023,393,F
"Sabrina da Mata",0,35814,394,F
"Alícia Vieira",0,35718,395,F
"Ana Luiza Sales",0,35651,396,F
"Luna Lima",0,35244,397,F
"Kamilly Ribeiro",0,35222,398,F
"Nicole Mendes",0,34960,399,F
"Srta. Maria Sophia Cavalcanti",0,34892,400,F
"Sabrina Fogaça",0,34860,401,F
"Luana Carvalho",0,34688,402,F
"Cecília Oliveira",0,34653,403,F
"Vitória Santos",0,34469,404,F
"Daniela Oliveira",0,34435,405,F
"Sra. Julia das Neves",0,34335,406,F
"Catarina Pires",0,34146,407,F
"Maria Fernanda da Cruz",0,33964,408,F
"Maria Eduarda Silva",0,33639,409,F
"Ana Júlia da Paz",0,33476,410,F
"Rafaela Ferreira",0,33209,411,F
"Dra. Nina Correia",0,33138,412,F
"Elisa da Rocha",0,33110,413,F
"Sra. Fernanda Pires",0,33091,414,F
"Srta. Laís Santos",0,33078,415,F
"Isadora Duarte",0,32921,416,F
"Lorena Pinto",0,32789,417,F
"Rebeca Aragão",0,32584,418,F
"Laís Costela",0,32559,419,F
"Maria Julia Moura",0,32556,420,F
"Alícia da Cruz",0,32430,421,F
"Isis Cardoso",0,32185,422,F
"Rafaela Rodrigues",0,32141,423,F
"Ana Carolina Correia",0,31785,424,F
"Mariana Costela",0,31777,425,F
"Alice Dias",0,31715,426,F
"Manuela Ferreira",0,31707,427,F
"Sophia Farias",0,31613,428,F
"Cecília das Neves",0,31593,429,F
"Brenda Porto",0,31448,430,F
"Olivia Cunha",0,31356,431,F
"Ana da Mata",0,31053,432,F
"Eloah Sales",0,31046,433,F
"Alana Cardoso",0,30911,434,F
"Cecília Dias",0,30800,435,F
"Maria Alice Araújo",0,30784,436,F
"Sra. Joana Viana",0,30652,437,F
"Isabel Ribeiro",0,30606,438,F
"Ana Beatriz Rocha",0,30529,439,F
"Maria Vitória Ferreira",0,30489,440,F
"Lívia Nogueira",0,30390,441,F
"Clara Cardoso",0,30258,442,F
"Sophie Rezende",0,30128,443,F
"Alice Santos",0,30030,444,F
"Ana Lívia Nogueira",0,30022,445,F
"Emanuelly Moura",0,29847,446,F
"Lorena Fogaça",0,29846,447,F
"Sra. Eduarda Viana",0,29767,448,F
"Gabrielly Cunha",0,29766,449,F
"Brenda da Mota",0,29682,450,F
"Yasmin Ribeiro",0,29208,451,F
"Heloísa Ferreira",0,29113,452,F
"Cecília Cunha",0,29055,453,F
"Maria Julia Moura",0,28993,454,F
"Dra. Joana Melo",0,28989,455,F
"Ana Vitória da Mata",0,28935,456,F
"Raquel da Mata",0,28764,457,F
"Sra. Lavínia Souza",0,28707,458,F
"Camila Nogueira",0,28622,459,F
"Heloísa da Cunha",0,28617,460,F
"Elisa Azevedo",0,28598,461,F
"Rebeca Alves",0,28567,462,F
"Júlia Pereira",0,28505,463,F
"Dra. Milena Costa",0,28503,464,F
"Lavínia Melo",0,28422,465,F
"Eloah Castro",0,28325,466,F
"Ana Júlia Costa",0,28298,467,F
"Dra. Ana Júlia da Paz",0,28205,468,F
"Sra. Joana Martins",0,28126,469,F
"Sofia Barbosa",0,28027,470,F
"Gabrielly Gonçalves",0,27873,471,F
"Sophie Cavalcanti",0,27761,472,F
"Heloísa Gonçalves",0,27549,473,F
"Bárbara Porto",0,27318,474,F
"Sofia Nogueira",0,27214,475,F
"Dra. Amanda Rezende",0,26951,476,F
"Sra. Bruna da Rocha",0,26595,477,F
"Dra. Gabriela Alves",0,26564,478,F
"Srta. Bruna Ferreira",0,26402,479,F
"Sofia Farias",0,26377,480,F
"Yasmin Ribeiro",0,26343,481,F
"Lorena Cunha",0,26268,482,F
"Maysa Aragão",0,26093,483,F
"Maitê Martins",0,25798,484,F
"Emanuelly Lopes",0,25740,485,F
"Ana Luiza Barbosa",0,25683,486,F
"Carolina Campos",0,25678,487,F
"Sra. Ana Luiza Ribeiro",0,25634,488,F
"Srta. Ana Beatriz Rocha",0,25529,489,F
"Sra. Nina Barbosa",0,25268,490,F
"Mariane Costa",0,25237,491,F
"Kamilly Ramos",0,25206,492,F
"Agatha Carvalho",0,25120,493,F
"Stephany Almeida",0,25072,494,F
"Manuela Castro",0,24781,495,F
"Bruna Silva",0,24674,496,F
"Heloísa da Costa",0,24655,497,F
"Melissa Cunha",0,24600,498,F
"Sophie Souza",0,24593,499,F
"Heloísa Lopes",0,24555,500,F
"Dra. Natália Vieira",0,24517,501,F
"Alícia Barros",0,24421,502,F
"Maria Alice da Cruz",0,24358,503,F
"Marina Barbosa",0,24358,504,F
"Srta. Nina Cardoso",0,24310,505,F
"Ana Laura Ribeiro",0,24280,506,F
"Sra. Isadora Santos",0,24236,507,F
"Joana Azevedo",0,24150,508,F
"Manuela Pereira",0,24145,509,F
"Daniela da Cruz",0,24144,510,F
"Dra. Maitê Pinto",0,24021,511,F
"Alexia Pinto",0,23959,512,F
"Helena Silveira",0,23829,513,F
"Rebeca Jesus",0,23741,514,F
"Vitória Nunes",0,23616,515,F
"Isabella Ribeiro",0,23564,516,F
"Valentina Araújo",0,23386,517,F
"Laura Teixeira",0,23309,518,F
"Srta. Isis Ribeiro",0,23275,519,F
"Ana Porto",0,23191,520,F
"Laís Dias",0,23145,521,F
"Sarah Ferreira",0,23142,522,F
"Srta. Sophie Cardoso",0,23075,523,F
"Srta. Beatriz Almeida",0,23025,524,F
"Rebeca Alves",0,22984,525,F
"Maria da Mota",0,22968,526,F
"Maria Alice Dias",0,22943,527,F
"Gabrielly da Mata",0,22917,528,F
"Raquel Silva",0,22916,529,F
"Daniela Martins",0,22879,530,F
"Melissa Cardoso",0,22828,531,F
"Stella Araújo",0,22784,532,F
"Ana Julia Rodrigues",0,22742,533,F
"Julia Moraes",0,22696,534,F
"Julia Oliveira",0,22678,535,F
"Maria Clara Santos",0,22626,536,F
"Mirella Gomes",0,22527,537,F
"Sra. Lívia Viana",0,22491,538,F
"Letícia Cavalcanti",0,22456,539,F
"Ana Luiza Viana",0,22361,540,F
"Srta. Rafaela Porto",0,22355,541,F
"Maria Vitória Cavalcanti",0,22268,542,F
"Maria Luiza Pereira",0,22097,543,F
"Emilly Porto",0,22084,544,F
"Sophie Dias",0,22035,545,F
"Srta. Carolina Campos",0,22023,546,F
"Olivia Melo",0,22021,547,F
"Maria Cecília Dias",0,22019,548,F
"Daniela Costa",0,21901,549,F
"Sophia Campos",0,21808,550,F
"Dra. Caroline da Cruz",0,21775,551,F
"Ana Luiza Moura",0,21734,552,F
"Giovanna Souza",0,21514,553,F
"Maria Cardoso",0,21473,554,F
"Bianca Caldeira",0,21348,555,F
"Carolina Teixeira",0,21246,556,F
"Stephany da Conceição",0,21236,557,F
"Sabrina da Cruz",0,21165,558,F
"Sra. Alexia da Paz",0,21161,559,F
"Heloísa Farias",0,21071,560,F
"Rebeca Cardoso",0,21027,561,F
"Maria Eduarda Ferreira",0,20969,562,F
"Milena da Costa",0,20941,563,F
"Isis Pereira",0,20857,564,F
"Stephany Nascimento",0,20831,565,F
"Ana Beatriz Azevedo",0,20786,566,F
"Clara Azevedo",0,20751,567,F
"Evelyn Costela",0,20640,568,F
"Dra. Catarina Almeida",0,20618,569,F
"Rebeca Lopes",0,20612,570,F
"Dra. Sabrina Costela",0,20571,571,F
"Srta. Clarice Jesus",0,20456,572,F
"Emilly Novaes",0,20436,573,F
"Dra. Yasmin da Rosa",0,20405,574,F
"Sabrina Freitas",0,20402,575,F
"Dra. Clara Cardoso",0,20397,576,F
"Letícia Novaes",0,20356,577,F
"Ana Clara da Costa",0,20323,578,F
"Heloísa Duarte",0,20315,579,F
"Laura Aragão",0,20308,580,F
"Ana Beatriz Lima",0,20224,581,F
"Bruna Barbosa",0,20219,582,F
"Srta. Lívia Rocha",0,20197,583,F
"Melissa Moreira",0,20110,584,F
"Sra. Rebeca Pires",0,20026,585,F
"Sra. Isabel da Mata",0,19818,586,F
"Luana da Cruz",0,19769,587,F
"Maysa Barros",0,19749,588,F
"Luana da Paz",0,19745,589,F
"Vitória Barros",0,19738,590,F
"Nicole da Mata",0,19553,591,F
"Letícia Araújo",0,19470,592,F
"Clarice Jesus",0,19442,593,F
"Alícia Ferreira",0,19416,594,F
"Sofia Monteiro",0,19406,595,F
"Giovanna Cunha",0,19380,596,F
"Mariane Ribeiro",0,19321,597,F
"Dra. Yasmin Moreira",0,19237,598,F
"Agatha da Rosa",0,19214,599,F
"Laura Silva",0,19160,600,F
"Srta. Sofia Azevedo",0,19117,601,F
"Dra. Nicole da Mota",0,19088,602,F
"Marina Araújo",0,19082,603,F
"Marcela Souza",0,19074,604,F
"Júlia Nascimento",0,18970,605,F
"Sra. Maitê da Rocha",0,18956,606,F
"Ana Vitória Silva",0,18898,607,F
"Alexia Teixeira",0,18875,608,F
"Ana Lívia Viana",0,18871,609,F
"Sra. Júlia Peixoto",0,18741,610,F
"Sra. Ana Clara Dias",0,18719,611,F
"Sophie Costa",0,18679,613,F
"Maria Cecília da Luz",0,18679,612,F
"Ana Beatriz Ferreira",0,18540,614,F
"Manuela Rocha",0,18473,615,F
"Ana Sophia Cunha",0,18464,616,F
"Olivia Castro",0,18288,617,F
"Sra. Brenda da Conceição",0,18286,618,F
"Esther Ribeiro",0,18137,619,F
"Rebeca Castro",0,18123,620,F
"Joana Cardoso",0,18102,621,F
"Stephany Costela",0,18046,622,F
"Bianca Nunes",0,18033,623,F
"Srta. Daniela Fernandes",0,18006,624,F
"Maria Julia Farias",0,17984,625,F
"Catarina Martins",0,17862,626,F
"Valentina da Luz",0,17783,627,F
"Dra. Laura Campos",0,17773,628,F
"Rafaela Viana",0,17715,629,F
"Alícia Costa",0,17512,630,F
"Catarina da Cruz",0,17497,631,F
"Júlia Cunha",0,17470,632,F
"Emanuella Barros",0,17450,633,F
"Srta. Heloísa Fernandes",0,17440,634,F
"Ana Vitória Pereira",0,17398,635,F
"Gabriela Pereira",0,17382,636,F
"Bruna da Rocha",0,17378,637,F
"Laura Pires",0,17363,638,F
"Emanuella Santos",0,17363,639,F
"Srta. Lorena Costela",0,17311,640,F
"Brenda Oliveira",0,17246,641,F
"Bárbara Peixoto",0,17204,642,F
"Carolina Barros",0,17113,643,F
"Luiza Martins",0,17056,644,F
"Sra. Ana Júlia das Neves",0,17038,645,F
"Sra. Alexia Novaes",0,17019,646,F
"Dra. Nicole Moura",0,16976,647,F
"Melissa Aragão",0,16960,648,F
"Luiza Moreira",0,16897,649,F
"Alice da Luz",0,16888,650,F
"Joana da Paz",0,16841,651,F
"Catarina Fogaça",0,16798,652,F
"Lavínia Rezende",0,16736,653,F
"Ana Julia da Mata",0,16693,654,F
"Luana Costa",0,16690,655,F
"Camila da Mata",0,16682,656,F
"Sra. Helena Ferreira",0,16644,657,F
"Bianca Rodrigues",0,16631,658,F
"Mariana Caldeira",0,16615,659,F
"Larissa Cunha",0,16570,660,F
"Sophie Costela",0,16484,661,F
"Sra. Ana Luiza da Rocha",0,16472,662,F
"Ana Júlia Cavalcanti",0,16433,663,F
"Sabrina Farias",0,16407,664,F
"Letícia Moraes",0,16354,665,F
"Ana Beatriz da Conceição",0,16347,666,F
"Alice Moraes",0,16340,667,F
"Camila Monteiro",0,16317,668,F
"Isis Barbosa",0,16292,669,F
"Evelyn Alves",0,16214,670,F
"Larissa Jesus",0,16163,671,F
"Juliana Castro",0,16112,672,F
"Joana Lima",0,16012,673,F
"Kamilly Cavalcanti",0,15990,674,F
"Srta. Isadora Silveira",0,15954,675,F
"Sra. Mariana Monteiro",0,15951,676,F
"Isis Freitas",0,15888,677,F
"Srta. Luiza Cardoso",0,15787,678,F
"Sra. Raquel da Rocha",0,15687,679,F
"Laís da Conceição",0,15645,680,F
"Maria Alice Azevedo",0,15596,681,F
"Laís da Mata",0,15577,682,F
"Ana da Mota",0,15526,683,F
"Laís Teixeira",0,15482,684,F
"Clara Gomes",0,15471,685,F
"Fernanda Melo",0,15469,686,F
"Dra. Ana Júlia Araújo",0,15415,687,F
